INFO 2018-08-27 20:45:33,217 basehttp 124 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2018-08-27 20:45:33,218 basehttp 124 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2018-08-27 20:45:33,223 basehttp 124 "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
INFO 2018-08-27 20:45:33,226 basehttp 124 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2018-08-27 20:45:33,228 basehttp 124 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2018-08-27 20:45:33,230 basehttp 124 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2018-08-27 20:45:33,231 basehttp 124 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2018-08-27 20:45:33,233 basehttp 124 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2018-08-27 20:45:33,235 basehttp 124 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2018-08-27 20:45:33,237 basehttp 124 "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2018-08-27 20:45:33,239 basehttp 124 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2018-08-27 20:45:33,294 basehttp 124 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
INFO 2018-08-27 20:45:33,299 basehttp 124 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
INFO 2018-08-27 20:45:33,301 basehttp 124 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2018-08-27 20:45:33,301 basehttp 124 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
INFO 2018-08-27 20:45:33,302 basehttp 124 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
INFO 2018-08-27 20:45:35,311 basehttp 124 "GET /admin/auth/user/1/change/ HTTP/1.1" 200 13712
INFO 2018-08-27 20:45:35,342 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2018-08-27 20:45:39,084 basehttp 124 "GET /admin/auth/user/ HTTP/1.1" 200 6692
INFO 2018-08-27 20:46:03,326 basehttp 124 "GET /admin/ HTTP/1.1" 200 3568
INFO 2018-08-27 20:46:07,016 basehttp 124 "GET /admin/blog/post/ HTTP/1.1" 200 3231
INFO 2018-08-27 20:46:07,037 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2018-08-27 20:46:08,689 basehttp 124 "GET /admin/ HTTP/1.1" 200 3568
INFO 2018-08-27 20:50:24,359 basehttp 124 "GET /admin/ HTTP/1.1" 200 3568
INFO 2018-08-27 20:50:24,370 basehttp 124 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2018-08-27 20:50:24,370 basehttp 124 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2018-08-27 20:50:24,372 basehttp 124 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2018-08-27 20:50:24,384 basehttp 124 "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
INFO 2018-08-27 20:50:24,395 basehttp 124 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
INFO 2018-08-27 20:50:24,397 basehttp 124 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
INFO 2018-08-27 20:50:24,399 basehttp 124 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
INFO 2018-08-27 20:50:24,423 basehttp 124 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2018-08-27 20:50:24,432 basehttp 124 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2018-08-27 20:50:25,886 basehttp 124 "GET /admin/ HTTP/1.1" 200 3568
INFO 2018-08-27 20:50:25,897 basehttp 124 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2018-08-27 20:50:25,898 basehttp 124 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2018-08-27 20:50:25,904 basehttp 124 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2018-08-27 20:50:25,907 basehttp 124 "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
INFO 2018-08-27 20:50:25,912 basehttp 124 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
INFO 2018-08-27 20:50:25,914 basehttp 124 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
INFO 2018-08-27 20:50:25,917 basehttp 124 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
INFO 2018-08-27 20:50:25,919 basehttp 124 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2018-08-27 20:50:25,922 basehttp 124 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2018-08-27 20:50:27,104 basehttp 124 "GET /admin/blog/post/ HTTP/1.1" 200 5503
INFO 2018-08-27 20:50:27,133 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
WARNING 2018-08-27 21:45:26,980 base 93 Not Found: /
WARNING 2018-08-27 21:45:26,980 basehttp 124 "GET / HTTP/1.1" 404 2028
